subsample,scale_pos_weight,n_estimators,min_child_weight,max_depth,learning_rate,colsample_bytree,cv_roc_auc_mean,cv_roc_auc_std,cv_rank
0.8,23.496296296296297,100.0,1.0,3.0,0.01,0.8,0.9368071952496715,0.04513320307985319,1
1.0,2.937037037037037,100.0,5.0,6.0,0.01,0.9,0.9347005048015968,0.046991483231365136,2
0.8,11.748148148148148,50.0,1.0,3.0,0.1,0.8,0.9336475477511256,0.04758618036913067,3
1.0,11.748148148148148,200.0,1.0,3.0,0.1,1.0,0.9298333197334784,0.0506101691405752,4
0.8,5.874074074074074,200.0,1.0,10.0,0.01,0.9,0.9287027676139267,0.0406369098352563,5
1.0,2.937037037037037,100.0,5.0,10.0,0.01,0.9,0.9279893766795371,0.048905353871552475,6
0.8,11.748148148148148,50.0,10.0,6.0,0.1,0.9,0.9277745072405819,0.04294569666926921,7
1.0,11.748148148148148,200.0,10.0,6.0,0.01,0.9,0.9272150381492358,0.04710540902588383,8
0.8,5.874074074074074,100.0,1.0,6.0,0.01,0.9,0.926833044513968,0.05958123711936228,9
0.9,23.496296296296297,200.0,10.0,10.0,0.01,0.9,0.9263636850081962,0.048549803765053474,10
0.8,5.874074074074074,50.0,1.0,10.0,0.1,0.9,0.9253248901448666,0.04379929975440736,11
0.9,23.496296296296297,100.0,1.0,6.0,0.01,0.8,0.9250519340615435,0.053684529931452604,12
1.0,11.748148148148148,100.0,5.0,3.0,0.1,1.0,0.9246316670638502,0.052060730284937476,13
0.8,11.748148148148148,100.0,1.0,3.0,0.2,0.9,0.9238468039630847,0.047644271517043944,14
0.9,11.748148148148148,100.0,10.0,10.0,0.2,0.8,0.9236893826219209,0.049615094535942136,15
0.9,2.937037037037037,100.0,1.0,6.0,0.2,0.8,0.9222129230167018,0.048500719771282334,16
0.8,23.496296296296297,100.0,5.0,6.0,0.1,1.0,0.9220484784052007,0.04713300325286552,17
0.8,23.496296296296297,50.0,5.0,10.0,0.2,1.0,0.9210428989878888,0.043358933902744486,18
1.0,5.874074074074074,200.0,5.0,3.0,0.2,0.9,0.9207260690095431,0.048811559051900356,19
0.8,5.874074074074074,100.0,1.0,6.0,0.1,1.0,0.9206113451706556,0.046488754388518405,20
1.0,23.496296296296297,50.0,10.0,6.0,0.01,1.0,0.9195768292265906,0.05873096089096069,21
1.0,11.748148148148148,200.0,10.0,6.0,0.2,0.8,0.9183649675709712,0.04619380272108368,22
0.8,5.874074074074074,200.0,1.0,6.0,0.1,0.8,0.9180711761495816,0.048700184165257995,23
0.9,23.496296296296297,200.0,1.0,6.0,0.1,0.8,0.9149935966201636,0.05140276466580649,24
0.8,23.496296296296297,50.0,1.0,10.0,0.01,1.0,0.9092765025608326,0.06194309812343898,25
